all: wszystko
and: i
animal: zwierzę
ashes: popiół
at: przy
back: plecy
bad: zły
bark: kora
because: ponieważ
belly: brzuch
big: duży
big: wielki
big: wielki
bird: ptak
bite: gryźć
black: czarny
blood: krew
blow: dmuchać
bone: kość
breast: pierś
breathe: oddychać
burn: palić się
child: dziecko
cloud: chmura
cold: zimno
come: przychodzić
correct: poprawny
count: liczyć
cut: ciąć
day: dzień
die: umierać
dig: kopać
dirty: brudny
dog: pies
drink: pić
dry: suchy
dull: tępy
dust: kurz
earth: ziemia
ear: ucho
eat: jeść
egg: jajko
eye: oko
fall: spadać
far: daleko
father: ojciec
fat (n.): tłuszcz
fear: bać się
feather: pióro
few: mało
fight: walczyć
fingernail: paznokieć
fire: ogień
fish: ryba
five: pięc
float: pływać
flower: kwiat
flow: płynąć
fly (v.): latać
fog: mgła
foot: stopa
forest: las
four: cztery
freeze: marznąć
fruit: owoc
full: pełny
give: dawać
good: dobry
grass: trawa
green: zielony
guts: wnętrzności
hair: włosy
hand: ręka
head: głowa
hear: słyszeć
heart: serce
heavy: ciężki
he: on
here: tu
hit: uderzać
hold: trzymać
horn: róg
how: jak
hunt: polować
husband: mąż
ice: lód
if: czy
if: gdy
if: jeśli
I: ja
in: w
kill: zabić
knee: kolano
know: wiedzieć
lake: jezioro
laugh: śmiać się
leaf: liść
left: lewo
leg: noga
lie: kłamać
lie: leżeć
liver: wątroba
live: żyć
long: długi
louse: pchła
man: męszczyzna
man: mezczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
man: mężczyzna
many: du?o
many: dużo
meat: ciało
meat: mięso
moon: księżyc
mother: matka
mountain: góra
mouth: buzia
mouth: usta
name: imię
narrow: wąski
near: blisko
neck: szyja
new: nowy
night: noc
nose: nos
not: nie
old: stary
one: jeden
other: inny
person: osoba
play: grać
pull: ciągnąć
push: pchać
rain: deszcz
red: czerwony
right: prawo
river: rzeka
road: droga
root: korzeń
rope: lina
rotten: zgniły
round: okrągły
rub: wycierać
salt: sól
sand: piasek
say: mówić
scratch: drapać
sea: morze
seed: ziarno
see: widzieć
sew: szyć
sharp: ostry
short: krótki
sing: śpiewać
sit: siedzieć
skin: skóra
skin: skura
sky: niebo
sleep: spać
small: mały
smell: czuć
smoke: dym
smooth: gładki
snake: wąż
snow: śnieg
some: trochę
spit: pluć
split: pęknięcie
stab: wbijać
stand: stać
star: gwiazda
stick: gałąź
stone: kamień
straight: prosty
suck: ssać
sun: słońce
swell: rosnąć
swim: pływać
tail: ogon
that: tamto
there: tam
they: oni
thick: gruby
thin: cienki
think: myśleć
this: to
thou: ty
three: trzy
throw: rzucać
tie: przywiązywać
tongue: język
tooth: ząb
tree: drzewo
two: dwa
vomit: wymiotować
walk: chodzić
walk: iść
warm: ciepło
wash: myć
water: woda
we: my
wet: mokry
what: co
when: kiedy
where: gdzie
white: biały
who: kto
wide: szeroki
wife: żona
wind: wiatr
wing: skrzydło
wipe: wycierać
with: z
woman: kobieta
worm: robak
year: rok
yellow: żółty
you: wy
