identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_bul_swadesh-1	bul	all	цял	t͡sʲal	
rosettaproject_bul_swadesh-1	bul	and	и	i	
rosettaproject_bul_swadesh-1	bul	animal	животно	ʒivɔtnɔ	
rosettaproject_bul_swadesh-1	bul	ashes	пепел	pɛpɛl	
rosettaproject_bul_swadesh-1	bul	at	до	dɔ	
rosettaproject_bul_swadesh-1	bul	back	гръб	ɡrɤp	
rosettaproject_bul_swadesh-1	bul	bad	лош	lɔʃ	
rosettaproject_bul_swadesh-1	bul	bark	кора	kɔra	
rosettaproject_bul_swadesh-1	bul	because	защото	zaʃtɔtɔ	
rosettaproject_bul_swadesh-1	bul	belly	корем	kɔrɛm	
rosettaproject_bul_swadesh-1	bul	big	голям	ɡɔlʲam	
rosettaproject_bul_swadesh-1	bul	bird	птица	ptit͡sa	
rosettaproject_bul_swadesh-1	bul	bite	хапя	xapʲa	
rosettaproject_bul_swadesh-1	bul	black	черен	t͡ʃɛrɛn	
rosettaproject_bul_swadesh-1	bul	blood	кръв	krɤf	
rosettaproject_bul_swadesh-1	bul	blow	духам	duxam	
rosettaproject_bul_swadesh-1	bul	bone	кокал	kɔkal	
rosettaproject_bul_swadesh-1	bul	breast	гръд	ɡrɤt	
rosettaproject_bul_swadesh-1	bul	breathe	дишам	diʃam	
rosettaproject_bul_swadesh-1	bul	burn	горя	ɡɔrʲa	
rosettaproject_bul_swadesh-1	bul	child	дете	dɛtɛ	
rosettaproject_bul_swadesh-1	bul	cloud	облак	ɔblak	
rosettaproject_bul_swadesh-1	bul	cold	студен	studɛn	
rosettaproject_bul_swadesh-1	bul	come	идвам	idvam	
rosettaproject_bul_swadesh-1	bul	correct	правилен	pravilɛn	
rosettaproject_bul_swadesh-1	bul	count	броя	brɔja	
rosettaproject_bul_swadesh-1	bul	cut	режа	rɛʒa	
rosettaproject_bul_swadesh-1	bul	day	ден	dɛn	
rosettaproject_bul_swadesh-1	bul	die	умирам	umiram	
rosettaproject_bul_swadesh-1	bul	dig	копая	kɔpaja	
rosettaproject_bul_swadesh-1	bul	dirty	мръсен	mrɤsɛn	
rosettaproject_bul_swadesh-1	bul	dog	куче	kut͡ʃɛ	
rosettaproject_bul_swadesh-1	bul	drink	пия	pija	
rosettaproject_bul_swadesh-1	bul	dry	сух	sux	
rosettaproject_bul_swadesh-1	bul	dull	тъп	tɤp	
rosettaproject_bul_swadesh-1	bul	dust	прах	prax	
rosettaproject_bul_swadesh-1	bul	ear	ухо	uxɔ	
rosettaproject_bul_swadesh-1	bul	earth	земя	zɛmʲa	
rosettaproject_bul_swadesh-1	bul	eat	ям	jam	
rosettaproject_bul_swadesh-1	bul	egg	яйце	jajt͡sɛ	
rosettaproject_bul_swadesh-1	bul	eye	око	ɔkɔ	
rosettaproject_bul_swadesh-1	bul	fall	падам	padam	
rosettaproject_bul_swadesh-1	bul	far	далече	dalɛt͡ʃɛ	
rosettaproject_bul_swadesh-1	bul	fat (n.)	мазнина	maznina	
rosettaproject_bul_swadesh-1	bul	father	баща	baʃta	
rosettaproject_bul_swadesh-1	bul	fear	страхувам се	straxuvam sɛ	
rosettaproject_bul_swadesh-1	bul	feather	перо	pɛrɔ	
rosettaproject_bul_swadesh-1	bul	few	малцина	malt͡sina	
rosettaproject_bul_swadesh-1	bul	fight	бия се	bija sɛ	
rosettaproject_bul_swadesh-1	bul	fire	огън	ɔɡɤn	
rosettaproject_bul_swadesh-1	bul	fish	риба	riba	
rosettaproject_bul_swadesh-1	bul	five	пет	pɛt	
rosettaproject_bul_swadesh-1	bul	float	плавам	plavam	
rosettaproject_bul_swadesh-1	bul	flow	тека	tɛka	
rosettaproject_bul_swadesh-1	bul	flower	цвете	t͡svɛtɛ	
rosettaproject_bul_swadesh-1	bul	fly (v.)	летя	lɛtʲa	
rosettaproject_bul_swadesh-1	bul	fog	мъгла	mɤɡla	
rosettaproject_bul_swadesh-1	bul	foot	крак	krak	
rosettaproject_bul_swadesh-1	bul	forest	гора	ɡɔra	
rosettaproject_bul_swadesh-1	bul	four	четири	t͡ʃɛtiri	
rosettaproject_bul_swadesh-1	bul	freeze	замръзвам	zamrɤzvam	
rosettaproject_bul_swadesh-1	bul	fruit	плод	plɔt	
rosettaproject_bul_swadesh-1	bul	full	пълен	pɤlɛn	
rosettaproject_bul_swadesh-1	bul	give	давам	davam	
rosettaproject_bul_swadesh-1	bul	good	добър	dɔbɤr	
rosettaproject_bul_swadesh-1	bul	grass	трева	trɛva	
rosettaproject_bul_swadesh-1	bul	green	зелен	zɛlɛn	
rosettaproject_bul_swadesh-1	bul	guts	вътрешности	vɤtrɛʃnɔsti	
rosettaproject_bul_swadesh-1	bul	hair	коса	kɔsa	
rosettaproject_bul_swadesh-1	bul	hand	ръка	rɤka	
rosettaproject_bul_swadesh-1	bul	he	той	tɔj	
rosettaproject_bul_swadesh-1	bul	head	глава	ɡlava	
rosettaproject_bul_swadesh-1	bul	hear	чувам	t͡ʃuvam	
rosettaproject_bul_swadesh-1	bul	heart	сърце	sɤrt͡sɛ	
rosettaproject_bul_swadesh-1	bul	heavy	тежък	tɛʒɤk	
rosettaproject_bul_swadesh-1	bul	here	тук	tuk	
rosettaproject_bul_swadesh-1	bul	hit	удрям	udrʲam	
rosettaproject_bul_swadesh-1	bul	hold	държа	dɤrʒa	
rosettaproject_bul_swadesh-1	bul	horn	рог	rɔk	
rosettaproject_bul_swadesh-1	bul	how	как	kak	
rosettaproject_bul_swadesh-1	bul	hunt	ловувам	lɔvuvam	
rosettaproject_bul_swadesh-1	bul	husband	съпруг	sɤpruk	
rosettaproject_bul_swadesh-1	bul	i	аз	as	
rosettaproject_bul_swadesh-1	bul	ice	лед	lɛt	
rosettaproject_bul_swadesh-1	bul	if	ако	akɔ	
rosettaproject_bul_swadesh-1	bul	in	в	f	
rosettaproject_bul_swadesh-1	bul	kill	убивам	ubivam	
rosettaproject_bul_swadesh-1	bul	knee	коляно	kɔlʲanɔ	
rosettaproject_bul_swadesh-1	bul	know	зная	znaja	
rosettaproject_bul_swadesh-1	bul	lake	езеро	ɛzɛrɔ	
rosettaproject_bul_swadesh-1	bul	laugh	смея се	smɛja sɛ	
rosettaproject_bul_swadesh-1	bul	leaf	листо	listɔ	
rosettaproject_bul_swadesh-1	bul	left	ляв	lʲaf	
rosettaproject_bul_swadesh-1	bul	leg	крак	krak	
rosettaproject_bul_swadesh-1	bul	lie	лежа	lɛʒa	
rosettaproject_bul_swadesh-1	bul	live	живея	ʒivɛja	
rosettaproject_bul_swadesh-1	bul	liver	черен дроб	t͡ʃɛrɛn drɔp	
rosettaproject_bul_swadesh-1	bul	long	дълъг	dɤlɤk	
rosettaproject_bul_swadesh-1	bul	louse	въшка	vɤʃka	
rosettaproject_bul_swadesh-1	bul	man	мъж	mɤʃ	
rosettaproject_bul_swadesh-1	bul	many	много	mnɔɡɔ	
rosettaproject_bul_swadesh-1	bul	meat	месо	mɛsɔ	
rosettaproject_bul_swadesh-1	bul	moon	луна	luna	
rosettaproject_bul_swadesh-1	bul	mother	майка	majka	
rosettaproject_bul_swadesh-1	bul	mountain	планина	planina	
rosettaproject_bul_swadesh-1	bul	mouth	уста	usta	
rosettaproject_bul_swadesh-1	bul	name	име	imɛ	
rosettaproject_bul_swadesh-1	bul	narrow	тесен	tɛsɛn	
rosettaproject_bul_swadesh-1	bul	near	близо до	blizɔ dɔ	
rosettaproject_bul_swadesh-1	bul	neck	врат	vrat	
rosettaproject_bul_swadesh-1	bul	new	нов	nɔf	
rosettaproject_bul_swadesh-1	bul	night	нощ	nɔʃt	
rosettaproject_bul_swadesh-1	bul	nose	нос	nɔs	
rosettaproject_bul_swadesh-1	bul	not	не	nɛ	
rosettaproject_bul_swadesh-1	bul	old	стар	star	
rosettaproject_bul_swadesh-1	bul	one	един	ɛdin	
rosettaproject_bul_swadesh-1	bul	other	друг	druk	
rosettaproject_bul_swadesh-1	bul	person	човек	t͡ʃɔvɛk	
rosettaproject_bul_swadesh-1	bul	play	играя	iɡraja	
rosettaproject_bul_swadesh-1	bul	pull	дърпам	dɤrpam	
rosettaproject_bul_swadesh-1	bul	push	бутам	butam	
rosettaproject_bul_swadesh-1	bul	rain	вали дъжд	vali dɤʃt	
rosettaproject_bul_swadesh-1	bul	red	червен	t͡ʃɛrvɛn	
rosettaproject_bul_swadesh-1	bul	right	десен	dɛsɛn	
rosettaproject_bul_swadesh-1	bul	river	река	rɛka	
rosettaproject_bul_swadesh-1	bul	road	шосе	ʃɔsɛ	
rosettaproject_bul_swadesh-1	bul	root	корен	kɔrɛn	
rosettaproject_bul_swadesh-1	bul	rope	въже	vɤʒɛ	
rosettaproject_bul_swadesh-1	bul	rotten	гнил	ɡnil	
rosettaproject_bul_swadesh-1	bul	rub	трия	trija	
rosettaproject_bul_swadesh-1	bul	salt	сол	sɔl	
rosettaproject_bul_swadesh-1	bul	sand	пясък	pʲasɤk	
rosettaproject_bul_swadesh-1	bul	say	казвам	kazvam	
rosettaproject_bul_swadesh-1	bul	scratch	чеша	t͡ʃɛʃa	
rosettaproject_bul_swadesh-1	bul	sea	море	mɔrɛ	
rosettaproject_bul_swadesh-1	bul	see	виждам	viʒdam	
rosettaproject_bul_swadesh-1	bul	seed	семе	sɛmɛ	
rosettaproject_bul_swadesh-1	bul	sew	шия	ʃija	
rosettaproject_bul_swadesh-1	bul	sharp	остър	ɔstɤr	
rosettaproject_bul_swadesh-1	bul	short	къс	kɤs	
rosettaproject_bul_swadesh-1	bul	sing	пея	pɛja	
rosettaproject_bul_swadesh-1	bul	sit	седя	sɛdʲa	
rosettaproject_bul_swadesh-1	bul	skin	кожа	kɔʒa	
rosettaproject_bul_swadesh-1	bul	sky	небе	nɛbɛ	
rosettaproject_bul_swadesh-1	bul	sleep	спя	spʲa	
rosettaproject_bul_swadesh-1	bul	small	малък	malɤk	
rosettaproject_bul_swadesh-1	bul	smell	мириша	miriʃa	
rosettaproject_bul_swadesh-1	bul	smoke	пушек	puʃɛk	
rosettaproject_bul_swadesh-1	bul	smooth	гладък	ɡladɤk	
rosettaproject_bul_swadesh-1	bul	snake	змия	zmija	
rosettaproject_bul_swadesh-1	bul	snow	сняг	snʲak	
rosettaproject_bul_swadesh-1	bul	some	няколко	nʲakɔlkɔ	
rosettaproject_bul_swadesh-1	bul	spit	плюя	plʲuja	
rosettaproject_bul_swadesh-1	bul	split	цепя	t͡sɛpʲa	
rosettaproject_bul_swadesh-1	bul	squeeze	изцеждам	ist͡sɛʒdam	
rosettaproject_bul_swadesh-1	bul	stab	промушвам	prɔmuʃvam	
rosettaproject_bul_swadesh-1	bul	stand	стоя	stɔja	
rosettaproject_bul_swadesh-1	bul	star	звезда	zvɛzda	
rosettaproject_bul_swadesh-1	bul	stick	пръчка	prɤt͡ʃka	
rosettaproject_bul_swadesh-1	bul	stone	камък	kamɤk	
rosettaproject_bul_swadesh-1	bul	straight	направо	napravɔ	
rosettaproject_bul_swadesh-1	bul	suck	суча	sut͡ʃa	
